name,ring,quadrant,isNew,description
Java 11,Adopt,Languages,FALSE,
Java 8,Hold,Languages,FALSE,Winding down; Sonarcloud will stop accepting it from October 2020
Kotlin,Adopt,Languages,FALSE,
Go,Trial,Languages,FALSE,
Dart,Adopt,Languages,TRUE,
Flutter,Adopt,Frameworks,TRUE,
Javascript,Adopt,Languages,FALSE,
Typescript,Adopt,Languages,FALSE,
NodeJS,Adopt,Languages,FALSE,
Rust,Assess,Languages,FALSE,
Swift,Adopt,Languages,FALSE,
Dart,Assess,Languages,FALSE,
Scala,Hold,Languages,FALSE,
KTOR,Trial,Frameworks,TRUE,
Micronaut,Assess,Frameworks,TRUE,
Vert.x,Assess,Frameworks,FALSE,
R2DBC,Trial,Frameworks,TRUE,
Spring Boot,Adopt,Frameworks,FALSE,
Micrometer,Adopt,Frameworks,FALSE,
AWS S3,Adopt,Data Management,FALSE,
AWS SQS,Adopt,Data Management,FALSE,
AWS SNS,Adopt,Data Management,FALSE,
PostgreSQL,Adopt,Data Management,FALSE,
Kafka,Adopt,Data Management,FALSE,
Elastic Search,Adopt,Data Management,FALSE,¶ Set service availability
Scylla,Trial,Data Management,FALSE,
Jenkins,Adopt,Infrastructure,FALSE,
Vault,Adopt,Infrastructure,FALSE,
TrackJs,Adopt,Infrastructure,FALSE,
New Relic,Adopt,Infrastructure,FALSE,
Prometheus,Adopt,Infrastructure,FALSE,
Grafana,Adopt,Infrastructure,FALSE,
Logz.io,Adopt,Infrastructure,FALSE,
Kubernetes,Adopt,Infrastructure,FALSE,
Docker,Adopt,Infrastructure,FALSE,
AWS EC2,Hold,Infrastructure,FALSE,
Gatling,Adopt,Infrastructure,FALSE,
Github Actions,Adopt,,TRUE,Frontend errors tracking usage
GitHub,Hold,Infrastructure,FALSE,
GitLab,Adopt,Infrastructure,FALSE,
Bitbucket,Hold,Infrastructure,FALSE,
AWS Lambda,Adopt,Infrastructure,FALSE,
K9S,Trial,Infrastructure,TRUE,
Lens,Assess,Infrastructure,TRUE,
Terraform,Adopt,Infrastructure,FALSE,
Helm,Adopt,Infrastructure,FALSE,
Chef,Adopt,Infrastructure,FALSE,
Python 3,Adopt,Languages,FALSE,
Apache Heron,Assess,Infrastructure,TRUE,
Apache Ignite,Assess,Frameworks,FALSE,
React,Adopt,Frameworks,FALSE,
Redux,Adopt,Frameworks,FALSE,
Deno,Assess,Languages,TRUE,
React Testing Library,Adopt,Frameworks,TRUE,
NestJS,Trial,Frameworks,,
OpenTelemery,Assess,Frameworks,TRUE,
Open Police Agent,Assess,Infrastructure,TRUE,
Redis,Adopt,Data Management,FALSE,
Kong,Adopt,Infrastructure,FALSE,
K6,Trial,Infrastructure,TRUE,
Hystrix,Hold,Frameworks,FALSE,
DynamoDB,Adopt,Data Management,FALSE,
MongoDB,Assess,Data Management,FALSE,
AWS Kinesis,Trial,Infrastructure,FALSE,
Traefik,Adopt,Infrastructure,FALSE,
GraphQL,Trial,Frameworks,FALSE,
Resillience4J,Adopt,Frameworks,FALSE,
Istio,Adopt,Infrastructure,FALSE,
Jaeger,Assess,Infrastructure,FALSE,
Zipkin,Assess,Infrastructure,FALSE,
JUnit 4,Hold,Frameworks,FALSE,
JUnit 5,Adopt,Frameworks,FALSE,
Mockito,Adopt,Frameworks,FALSE,
Cucumber,Adopt,Frameworks,FALSE,
GraphQL,Trial,Frameworks,FALSE,
gRPC,Trial,Frameworks,FALSE,
